currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
master,process38e73eb7088,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",10,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","frame procname=adhoc line=1 stmtend=706 sqlhandle=0x02000000a51fd214a2268f8c202f84eb5a429b014e8769430000000000000000000000000000000000000000"
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",10,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","frame procname=adhoc line=1 stmtend=766 sqlhandle=0x02000000476c832052ee40528a3cbd20f46831f3dad1522b0000000000000000000000000000000000000000"
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",10,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","is_completed = 0     "
master,process38e73eb7088,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",10,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","keylock hobtid=72057594042449920 dbid=5 objectname=K2_Custom.dbo.task_log indexname=PK_task_log id=lock2daf9ab8680 mode=X associatedObjectId=72057594042449920"
master,process38e73eb7088,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",10,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","p3 AS ("
master,"process348c949b088 process382505d3468 process38e73eb7088","KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",9,"2025/11/26 09:33:25.220","2025/11/26 09:33:23.080","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x02000000c8ae4129bc2af54cc3eaa958d25247969229689b0000000000000000000000000000000000000000"
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT91126S%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,"process29a4a23d848 process2ed6b769848","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (8281f77724ad) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:28.870","2025/11/26 09:33:20.250","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT91126S%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,process2d063c2a8c8,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (0b87f2f2184b) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:29.680","2025/11/26 09:33:29.680","[final_status] = ISNULL(@action, [final_status])"
"K2_Custom","process29afd8d7088 process375e2d3a8c8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:1927470  PAGE: 5:1:5218717 ","IX S U",8,"2025/11/27 09:41:48.970","2025/11/26 09:33:28.870","frame procname=K2_Custom.dbo.update_task_log line=31 stmtstart=1332 stmtend=2372 sqlhandle=0x030005009b87944df613fa0046b1000001000000000000000000000000000000000000000000000000000000"
master,"process29a4a23d848 process2ed6b769848","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (8281f77724ad) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:28.870","2025/11/26 09:33:20.250","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000009e43f51c404c8e1fda326aa4900d35c690b4eee00000000000000000000000000000000000000000"
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","owner id=process3ef7f2d4ca8 mode=X"
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",8,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","waiter-list"
master,process4002c7f68c8,"KEY: 5:72057594042449920 (7a6d6e4bb7c8) PAGE: 5:1:5218716 ","IX S",7,"2025/11/26 09:33:18.410","2025/11/26 09:33:18.410",",[reference_type]"
master,process2d063c2a8c8,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (0b87f2f2184b) PAGE: 5:1:5218717 ","IX S U",7,"2025/11/26 09:33:29.680","2025/11/26 09:33:29.680","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template section ''Final Review'' Effective Date Update' and description like '%TR3IN1AutoCupT11126D%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,process4002c7f68c8,"KEY: 5:72057594042449920 (7a6d6e4bb7c8) PAGE: 5:1:5218716 ","IX S",7,"2025/11/26 09:33:18.410","2025/11/26 09:33:18.410","SET [request_object] = ISNULL(@request_object, [request_object]),"
"K2_Custom",process29b2dfedc28,"KEY: 5:72057594042187776 (14978c59f027) KEY: 5:72057594042187776 (78afce8d390b) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198)",U,7,"2025/11/27 08:57:48.950","2025/11/27 08:57:48.950","[INFO] Database ID: [5]. Seg: { 0x00013175001fbde0: 0x0010}; Ckpt Id: 34272."
master,process29b0535f848,"KEY: 5:72057594042449920 (004413f5c579) PAGE: 5:1:1927466 ","IX S",7,"2025/11/27 08:58:05.810","2025/11/27 08:58:05.810","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000005c739d05679380a529810bddf5b869bd15e7b8190000000000000000000000000000000000000000"
master,process375e2d3aca8,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",6,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","owner-list"
master,process375e2d3aca8,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",6,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","pagelock fileid=1 pageid=5218717 dbid=5 subresource=FULL objectname=K2_Custom.dbo.task_log id=lock2e4e4508d80 mode=S associatedObjectId=72057594042646528"
master,process29a4a23d848,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",5,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","FROM [dbo].[task_log] 	"
